timestamp,event_type,source_ip,dest_ip,severity
2026-09-10T08:05:12,process_started,192.168.1.45,10.0.0.12,INFO
2026-09-10T08:10:33,file_created,192.168.1.45,10.0.0.12,WARN
2026-09-10T08:15:22,file_deleted,192.168.1.45,10.0.0.12,ERROR
2026-09-10T08:20:10,process_started,192.168.1.46,10.0.0.13,INFO
2026-09-10T08:25:40,file_created,192.168.1.46,10.0.0.13,WARN
2026-09-10T08:30:55,file_deleted,192.168.1.46,10.0.0.13,CRITICAL
2026-09-10T08:35:00,process_started,192.168.1.47,10.0.0.14,INFO
2026-09-10T08:40:00,file_created,192.168.1.47,10.0.0.14,WARN
2026-09-10T08:45:00,file_deleted,192.168.1.47,10.0.0.14,ERROR

2026-09-10T09:05:12,process_started,203.0.113.55,192.168.1.100,CRITICAL
2026-09-10T09:10:00,file_created,203.0.113.55,192.168.1.100,ERROR
2026-09-10T09:15:30,file_deleted,203.0.113.55,192.168.1.100,CRITICAL
2026-09-10T09:20:00,process_started,203.0.113.56,192.168.1.101,WARN

2026-09-10T10:00:00,file_created,198.51.100.23,192.168.1.50,WARN
2026-09-10T10:05:15,process_started,198.51.100.23,192.168.1.50,INFO
2026-09-10T10:10:30,file_deleted,198.51.100.23,192.168.1.50,CRITICAL
2026-09-10T10:15:45,process_started,198.51.100.24,192.168.1.51,INFO
2026-09-10T10:20:00,file_created,198.51.100.24,192.168.1.51,WARN
2026-09-10T10:25:30,file_deleted,198.51.100.24,192.168.1.51,ERROR
2026-09-10T10:30:00,file_created,198.51.100.25,192.168.1.52,CRITICAL

2026-09-10T11:00:00,process_started,10.0.0.20,192.168.1.60,INFO
2026-09-10T11:05:20,file_created,10.0.0.20,192.168.1.60,WARN
2026-09-10T11:10:40,file_deleted,10.0.0.20,192.168.1.60,CRITICAL
